id,skill,recommendation
1,Python,Python for Beginners - Udemy
2,Java,Java Programming Masterclass for Software Developers - Udemy
3,JavaScript,JavaScript: The Complete Guide - Udemy
4,HTML/CSS,HTML and CSS for Beginners - Coursera
5,SQL,SQL for Data Science - edX
6,CPP,CPP Programming - Codecademy
7,Ruby,Ruby on Rails: An Introduction - Udemy
8,Git,Git Complete: The Definitive Step-By-Step Guide - Udemy
9,Agile Methodology,Agile Crash Course: Agile Project Management - Udemy
10,Machine Learning,Machine Learning A-Z\'99: Hands-On Python & R In Data Science - Udemy
11,Data Analysis,Data Analysis and Visualization with Python - Udacity
12,Web Development,The Web Developer Bootcamp - Udemy
13,Mobile App Development,Android App Development Masterclass using Kotlin - Udemy
14,DevOps,Learn DevOps: The Complete Kubernetes Course - Udemy
15,Cloud Computing,AWS Certified Solutions Architect - Associate 2021 - Udemy
16,Cybersecurity,The Complete Cybersecurity Course: Hackers Exposed! - Udemy
17,Data Science,Data Science and Machine Learning Bootcamp with R - Udemy
18,Artificial Intelligence,Artificial Intelligence A-Z\'99: Learn How To Build in AI - Udemy
19,UI/UX Design,UI/UX Design with Adobe XD: Design & Prototype a Mobile App - Udemy
20,Blockchain,Blockchain Basics: A Practical Approach - Coursera
21,Big Data,Hadoop and Spark: Big Data Analytics - Udemy
22,Networking,Computer Networking - Udacity
23,Software Testing,Software Testing Fundamentals - Udemy
